Reference, Value, Footprint, Datasheet, Price, MF, Description, Package, MP
U1,ATMEGA328P-AU,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,,,,,,
C4,100nF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C2,100nF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C1,100nF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C6,100nF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
R5,10k,Resistors_SMD:R_0603_HandSoldering,,,,,,
R3,10k,Resistors_SMD:R_0603_HandSoldering,,,,,,
R1,1M,Resistors_SMD:R_0603_HandSoldering,,,,,,
R2,470k,Resistors_SMD:R_0603_HandSoldering,,,,,,
R4,10k,Resistors_SMD:R_0603_HandSoldering,,,,,,
C9,47uF,Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Hand,,,,,,
C10,4.7uF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
C12,100nF,Capacitors_SMD:C_0603_HandSoldering,,,,,,
R14,100k,Resistors_SMD:R_0603_HandSoldering,,,,,,
U3,M25P40,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,Unavailable,0.28 USD,Micron,NOR Flash Serial-SPI 2.5V/3.3V 4Mbit 512K x 8bit 8ns 8-Pin SO N T/R,SO-8 Micron,M25P40-VMN6TPB
U4,XC6206P332MR,TO_SOT_Packages_SMD:TSOT-23,Good,0.58 USD,Torex,SMD PMIC%3B LDO%3B Vin 6V%3B 3.0V%3B 200mA%3B Without En%3B 1-Ch,SOT-23-3 Torex,XC6206P302MR
U6,ATSHA204,TO_SOT_Packages_SMD:TSOT-23,Unavailable,None,Microchip,Crypto Authentication%2C Sot-23-3,SOT-23-3 Microchip,ATSHA204-TSU-T
R10,1k,Resistors_SMD:R_0603_HandSoldering,,,,,,
R11,1k,Resistors_SMD:R_0603_HandSoldering,,,,,,
C7,47uF,Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Hand,,,,,,
R13,0,Resistors_SMD:R_0603_HandSoldering,,,,,,
SW1,SW_DIP_x01,w_switch:smd_push2,,,,,,
Y2,Crystal_GND2,SMD-RESONATOR-8MHZ-33PF-0.1__3P-3.2X1.3MM_:X3-SMD-3.6X1.3X0.8MM,,,,,,
J1,CONN_01X07,Socket_Strips:Socket_Strip_Straight_1x07_Pitch2.54mm,,,,,,
J2,CONN_01X07,Socket_Strips:Socket_Strip_Straight_1x07_Pitch2.54mm,,,,,,
J4,CONN_01X01,Symbols:OSHW-Logo2_7.3x6mm_SilkScreen,,,,,,
MK1,Mounting_Hole,Mounting_Holes:MountingHole_2.2mm_M2_ISO14580,,,,,,
U2,RFM69CW,w_rf_modules:RFM12B_SMD,DOCUMENTATION,,,,,
J3,CONN_01X02,Connectors_JST:JST_PH_B2B-PH-K_02x2.00mm_Straight,,,,,,
J5,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,,,,,,
