Reference, Value, Footprint, Datasheet
"J1","CH340G","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","DOCUMENTATION"
"Y1","Crystal_GND2","SMD-RESONATOR-8MHZ-33PF-0.1__3P-3.2X1.3MM_:X3-SMD-3.6X1.3X0.8MM",""
"C1","100nF","Capacitors_SMD:C_0402_NoSilk",""
"C2","100nF","Capacitors_SMD:C_0402_NoSilk",""
"R2","1K","Resistors_SMD:R_0402_NoSilk",""
"R3","5k","Resistors_SMD:R_0402_NoSilk",""
"R4","5k","Resistors_SMD:R_0402_NoSilk",""
"R1","1k","Resistors_SMD:R_0402_NoSilk",""
"D1","0603","LEDs:LED_0603",""
"D2","0603","LEDs:LED_0603",""
"J3","USB_OTG","Connectors_USB:USB_Micro-B_Molex-105017-0001",""
"J4","CONN_01X08","Socket_Strips:Socket_Strip_Straight_1x08_Pitch2.54mm",""
"J5","CONN_01X08","Socket_Strips:Socket_Strip_Straight_1x08_Pitch2.54mm",""
"J7","CONN_01X09","Socket_Strips:Socket_Strip_Straight_1x09_Pitch2.54mm",""
"J6","CONN_02X05","Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm",""
"J2","GS2","Connectors:GS2",""
